team,season,preseason_elo,clubelo_rating_if_available,spi_rating_if_available,attack_rating,defense_rating,home_attack_rating,home_defense_rating,away_attack_rating,away_defense_rating,promoted_team_flag,previous_season_league,previous_season_finish,previous_season_points,previous_season_goal_difference,previous_season_xg_difference,squad_market_value,wage_bill_proxy,manager,manager_start_date,manager_tenure_days,source_name,source_timestamp,data_quality_score,notes
Hull City,2026-27,1294.2,,,-0.3178,-0.1715,-0.2309,-0.1715,-0.3178,-0.2584,True,Championship,,,,,,,,,,in-house Elo + Dixon-Coles fit on football-data.co.uk historical results,2026-08-17T22:48:42+00:00,0.55,"Promoted club; previous season was Championship, not Premier League -- no verified Championship results source connected, so previous_season_* Championship fields are blank. Elo/attack/defense seeded using the empirical promoted-team offset derived from 33 real historical promotion events (points_below_league_avg=-17.6). clubelo_rating_if_available/spi_rating_if_available/squad_market_value/wage_bill_proxy/manager fields unavailable -- no connected source (see data_sources.yaml)."
Ipswich Town,2026-27,1241.1,,,-0.3028,-0.218,-0.2159,-0.218,-0.3028,-0.3049,True,Championship,,,,,,,,,,in-house Elo + Dixon-Coles fit on football-data.co.uk historical results,2026-08-17T22:48:42+00:00,0.55,"Promoted club; previous season was Championship, not Premier League -- no verified Championship results source connected, so previous_season_* Championship fields are blank. Elo/attack/defense seeded using the empirical promoted-team offset derived from 33 real historical promotion events (points_below_league_avg=-17.6). clubelo_rating_if_available/spi_rating_if_available/squad_market_value/wage_bill_proxy/manager fields unavailable -- no connected source (see data_sources.yaml)."
Leeds United,2026-27,1328.3,,,0.2091,-0.0632,0.2959,-0.0632,0.2091,-0.1501,False,Premier League,14,47,-7,,,,,,,in-house Elo + Dixon-Coles fit on football-data.co.uk historical results,2026-08-17T22:48:42+00:00,0.75,clubelo_rating_if_available/spi_rating_if_available/squad_market_value/wage_bill_proxy/manager fields unavailable -- no connected source (see data_sources.yaml).
Liverpool,2026-27,1426.1,,,0.5956,0.1571,0.6825,0.1571,0.5956,0.0702,False,Premier League,5,60,10,,,,,,,in-house Elo + Dixon-Coles fit on football-data.co.uk historical results,2026-08-17T22:48:42+00:00,0.75,clubelo_rating_if_available/spi_rating_if_available/squad_market_value/wage_bill_proxy/manager fields unavailable -- no connected source (see data_sources.yaml).
Manchester City,2026-27,1510.8,,,0.669,0.4132,0.7559,0.4132,0.669,0.3263,False,Premier League,2,78,42,,,,,,,in-house Elo + Dixon-Coles fit on football-data.co.uk historical results,2026-08-17T22:48:42+00:00,0.75,clubelo_rating_if_available/spi_rating_if_available/squad_market_value/wage_bill_proxy/manager fields unavailable -- no connected source (see data_sources.yaml).
Manchester United,2026-27,1431.6,,,0.3826,0.0826,0.4695,0.0826,0.3826,-0.0043,False,Premier League,3,71,19,,,,,,,in-house Elo + Dixon-Coles fit on football-data.co.uk historical results,2026-08-17T22:48:42+00:00,0.75,clubelo_rating_if_available/spi_rating_if_available/squad_market_value/wage_bill_proxy/manager fields unavailable -- no connected source (see data_sources.yaml).
Newcastle United,2026-27,1364.8,,,0.4171,0.0368,0.504,0.0368,0.4171,-0.0501,False,Premier League,12,49,-2,,,,,,,in-house Elo + Dixon-Coles fit on football-data.co.uk historical results,2026-08-17T22:48:42+00:00,0.75,clubelo_rating_if_available/spi_rating_if_available/squad_market_value/wage_bill_proxy/manager fields unavailable -- no connected source (see data_sources.yaml).
Nottingham Forest,2026-27,1361.9,,,0.2317,0.0578,0.3186,0.0578,0.2317,-0.0291,False,Premier League,16,44,-3,,,,,,,in-house Elo + Dixon-Coles fit on football-data.co.uk historical results,2026-08-17T22:48:42+00:00,0.75,clubelo_rating_if_available/spi_rating_if_available/squad_market_value/wage_bill_proxy/manager fields unavailable -- no connected source (see data_sources.yaml).
Sunderland,2026-27,1322.4,,,0.0626,0.144,0.1495,0.144,0.0626,0.0572,False,Premier League,7,54,-6,,,,,,,in-house Elo + Dixon-Coles fit on football-data.co.uk historical results,2026-08-17T22:48:42+00:00,0.75,clubelo_rating_if_available/spi_rating_if_available/squad_market_value/wage_bill_proxy/manager fields unavailable -- no connected source (see data_sources.yaml).
Tottenham Hotspur,2026-27,1299.9,,,0.3477,-0.0727,0.4346,-0.0727,0.3477,-0.1596,False,Premier League,17,41,-9,,,,,,,in-house Elo + Dixon-Coles fit on football-data.co.uk historical results,2026-08-17T22:48:42+00:00,0.75,clubelo_rating_if_available/spi_rating_if_available/squad_market_value/wage_bill_proxy/manager fields unavailable -- no connected source (see data_sources.yaml).
