team,finish_1_probability,finish_2_probability,finish_3_probability,finish_4_probability,finish_5_probability,finish_6_probability,finish_7_probability,finish_8_probability,finish_9_probability,finish_10_probability,finish_11_probability,finish_12_probability,finish_13_probability,finish_14_probability,finish_15_probability,finish_16_probability,finish_17_probability,finish_18_probability,finish_19_probability,finish_20_probability,finish_21_probability,finish_22_probability,finish_23_probability,finish_24_probability,finish_25_probability,finish_26_probability,finish_27_probability,finish_28_probability,finish_29_probability,finish_30_probability
Houston Dynamo FC,0.00771,0.01156,0.0151,0.01813,0.02054,0.02363,0.02584,0.02818,0.03036,0.03285,0.03496,0.03668,0.03801,0.03889,0.04039,0.04143,0.04252,0.04362,0.04366,0.04392,0.04446,0.04406,0.04317,0.04294,0.0413,0.03979,0.03795,0.03482,0.03022,0.02333
Inter Miami CF,0.11848,0.10233,0.08852,0.07918,0.07064,0.06251,0.05644,0.05098,0.04559,0.04114,0.03702,0.03338,0.02986,0.0268,0.0235,0.02136,0.01827,0.01658,0.01421,0.01241,0.01077,0.00925,0.00761,0.00652,0.00492,0.00393,0.00324,0.00243,0.00145,0.00069
LA Galaxy,0.00757,0.01124,0.01424,0.01773,0.02068,0.02211,0.02555,0.02743,0.02982,0.03164,0.03341,0.03556,0.037,0.03915,0.04022,0.04156,0.0423,0.04325,0.04368,0.04447,0.0441,0.04422,0.0436,0.04292,0.04234,0.0412,0.03923,0.03666,0.03195,0.02522
Los Angeles Football Club,0.12951,0.1071,0.09136,0.08156,0.07104,0.0631,0.05622,0.0504,0.04469,0.03947,0.03547,0.03195,0.02823,0.0254,0.02208,0.01968,0.01731,0.0147,0.01313,0.01122,0.01037,0.0082,0.00676,0.00589,0.00472,0.0038,0.00275,0.00192,0.00126,0.00072
Minnesota United FC,0.04806,0.05353,0.0537,0.05525,0.05479,0.05401,0.05274,0.05147,0.0501,0.04766,0.0462,0.04315,0.04099,0.03827,0.03623,0.03411,0.0311,0.02943,0.0266,0.02486,0.02239,0.02044,0.018,0.01602,0.01358,0.01173,0.00954,0.00755,0.00537,0.00312
Nashville SC,0.02199,0.02822,0.03224,0.03499,0.03854,0.04013,0.04186,0.04192,0.04313,0.04355,0.04343,0.0439,0.04378,0.0421,0.04242,0.0412,0.04006,0.0384,0.03733,0.03524,0.03365,0.03171,0.02931,0.0274,0.02458,0.02227,0.01888,0.01624,0.01255,0.00898
New England Revolution,0.00196,0.00379,0.00556,0.00698,0.00828,0.01038,0.01237,0.01391,0.01593,0.01824,0.02058,0.02236,0.02496,0.02749,0.03038,0.03224,0.03568,0.03812,0.04139,0.04408,0.04755,0.04958,0.05353,0.05622,0.05884,0.06153,0.06303,0.06541,0.06685,0.06277
New York City Football Club,0.02394,0.03032,0.03472,0.03732,0.03942,0.0411,0.04247,0.04406,0.04426,0.04439,0.04341,0.04419,0.04454,0.0431,0.04158,0.04066,0.0402,0.03794,0.03576,0.03507,0.03254,0.02986,0.028,0.0262,0.02315,0.02024,0.01767,0.01461,0.01166,0.00762
Orlando City,0.04347,0.0476,0.05004,0.0514,0.05281,0.05054,0.05106,0.0501,0.04905,0.04726,0.0458,0.04389,0.0412,0.03968,0.03801,0.03517,0.03391,0.03098,0.02867,0.02687,0.02411,0.0227,0.01982,0.01746,0.01534,0.01322,0.01126,0.00875,0.00606,0.00378
Philadelphia Union,0.07963,0.07824,0.07343,0.06909,0.06537,0.06049,0.05684,0.05374,0.04882,0.04512,0.0426,0.03804,0.03577,0.03246,0.0302,0.02706,0.02482,0.02176,0.0197,0.01742,0.01522,0.01347,0.01185,0.00972,0.00833,0.00692,0.00557,0.00416,0.00267,0.00147
Portland Timbers,0.00837,0.01196,0.01526,0.01773,0.02048,0.02344,0.02546,0.02732,0.03012,0.03193,0.03366,0.03542,0.03728,0.03874,0.04001,0.04106,0.04171,0.0427,0.04358,0.04462,0.04356,0.04455,0.04402,0.04359,0.0419,0.04063,0.03845,0.03588,0.03165,0.0249
Real Salt Lake,0.00742,0.01108,0.01427,0.01708,0.01988,0.02232,0.02454,0.02698,0.02954,0.03118,0.03327,0.03494,0.03675,0.03869,0.0399,0.0413,0.04236,0.04302,0.04466,0.04312,0.04441,0.04553,0.04444,0.04457,0.04321,0.04104,0.04026,0.0371,0.03216,0.02498
Red Bull New York,0.01212,0.01706,0.02091,0.0241,0.02645,0.02964,0.03152,0.03297,0.03545,0.0369,0.03818,0.0395,0.04081,0.04145,0.04214,0.0425,0.04231,0.04294,0.04136,0.04181,0.04162,0.04017,0.03892,0.0366,0.03526,0.03284,0.03022,0.0257,0.02182,0.01675
San Diego FC,0.14624,0.1012,0.08167,0.06986,0.06243,0.05549,0.04963,0.04459,0.04079,0.0364,0.03396,0.03105,0.02846,0.02592,0.0235,0.02164,0.0194,0.01832,0.01637,0.0152,0.01278,0.01202,0.0106,0.00958,0.00828,0.00706,0.00644,0.00482,0.00397,0.00234
San Jose Earthquakes,0.00308,0.005,0.00687,0.00935,0.01082,0.01349,0.01536,0.01718,0.01961,0.02142,0.02402,0.02571,0.02826,0.03084,0.03316,0.0351,0.03754,0.03968,0.04235,0.04445,0.04739,0.04882,0.05101,0.05318,0.05527,0.05615,0.05754,0.05828,0.05744,0.05161
Seattle Sounders FC,0.05385,0.05765,0.05967,0.05921,0.05817,0.05727,0.0544,0.05297,0.0495,0.04799,0.04543,0.0434,0.03992,0.03767,0.0353,0.03215,0.03002,0.0274,0.02442,0.02224,0.01998,0.0183,0.01616,0.01396,0.01219,0.00953,0.00813,0.00618,0.00453,0.00239
Sporting Kansas City,0.00103,0.00206,0.00282,0.00402,0.00501,0.00615,0.00753,0.00892,0.01131,0.01248,0.01394,0.01594,0.01802,0.01993,0.02287,0.02564,0.02787,0.03089,0.0344,0.039,0.04158,0.04525,0.05076,0.05548,0.06147,0.06903,0.07614,0.08585,0.09782,0.1068
St. Louis CITY SC,0.0046,0.00738,0.01031,0.012,0.01447,0.01695,0.01964,0.02179,0.02378,0.02642,0.0281,0.03041,0.03294,0.03491,0.03635,0.03903,0.04106,0.0427,0.04445,0.04587,0.04658,0.0484,0.04782,0.0487,0.04949,0.04939,0.04874,0.04722,0.04348,0.03701
Toronto FC,0.00256,0.00447,0.00611,0.00842,0.00979,0.01168,0.01422,0.01585,0.018,0.01996,0.02234,0.02497,0.02707,0.0298,0.03194,0.03466,0.03738,0.03982,0.04355,0.04463,0.04854,0.05104,0.0525,0.05508,0.05634,0.05879,0.05926,0.06076,0.05849,0.05197
Vancouver Whitecaps FC,0.09574,0.09102,0.08371,0.07601,0.06886,0.06369,0.05726,0.05229,0.04814,0.0436,0.04023,0.03634,0.03268,0.02926,0.02614,0.02312,0.02113,0.01899,0.01633,0.01391,0.01271,0.01054,0.00912,0.00786,0.00632,0.00521,0.00393,0.00297,0.00192,0.00097
